id,answer
313,3.86912202835083
314,4.0045247077941895
315,5.956396579742432
316,3.586164712905884
317,3.3012092113494873
318,2.6465396881103516
319,4.915476322174072
320,5.0088934898376465
321,5.082396507263184
322,5.6574015617370605
323,5.827291011810303
324,8.670125007629395
325,3.7889792919158936
326,4.30728816986084
327,3.8701231479644775
328,4.058996200561523
329,2.8165040016174316
330,4.044442653656006
331,7.719183921813965
332,5.608467102050781
333,2.988830804824829
334,5.9779887199401855
335,5.107328414916992
336,3.099195957183838
337,3.4528820514678955
338,6.0642924308776855
339,3.262990951538086
340,3.567748546600342
341,4.459146022796631
342,2.779099702835083
343,3.430163860321045
344,3.9632763862609863
345,5.168445110321045
346,5.875216960906982
347,4.281673431396484
348,2.604341745376587
349,3.935694456100464
350,5.910880088806152
351,4.38546895980835
352,7.252134323120117
353,3.876535415649414
354,5.337998867034912
355,2.7846481800079346
356,3.995051622390747
357,4.1513471603393555
358,2.543091058731079
359,6.030815601348877
360,4.668209075927734
361,4.742974758148193
362,3.4473178386688232
363,4.252346038818359
364,6.855994701385498
365,6.118778705596924
366,4.863528728485107
367,5.787988185882568
368,2.555124521255493
369,2.800905704498291
370,5.8005475997924805
371,8.858973503112793
372,3.122680902481079
373,7.1079583168029785
374,6.395467758178711
375,5.026500225067139
376,5.179220199584961
377,4.221826553344727
378,4.609832763671875
379,6.574371814727783
380,3.319000244140625
381,3.530696392059326
382,4.225460529327393
383,6.205936431884766
384,4.9044976234436035
385,9.09765625
386,4.701954364776611
387,9.036755561828613
388,7.989955425262451
389,6.090383052825928
390,5.1390814781188965
391,2.7609927654266357
392,6.510757923126221
393,5.94599723815918
394,5.7726006507873535
395,4.798851490020752
396,5.106753349304199
397,5.835646152496338
398,5.050910472869873
399,3.44193696975708
400,5.825953483581543
401,6.154029846191406
402,7.54648494720459
403,3.806931734085083
404,3.818364381790161
405,4.163928985595703
406,3.3622243404388428
407,3.368929386138916
408,5.661393165588379
409,3.9891273975372314
410,3.6730949878692627
411,3.2515008449554443
412,6.147196292877197
413,1.7709519863128662
414,5.308633327484131
415,5.850289821624756
416,2.78585147857666
417,3.666597366333008
